Gender,Age_Group,Country,Local-Foreign,Education_Level,Part_Full,Accomodation,Living,Buy_Food,no_Quality,no_Price,No_Serving_Size,No_Variety,No_Environment,No_from_Where,Home_Food_Prepare,Buy_Location,Days_buy,Eat_Time,Daily_Spend,Group_Eat,yes_Food,yes_Price,yes_size,yes_variety,yes_bev_Price,yes_bev_variety,yes_env,yes_ordering,yes_seat,yes_cs,name_dish,price_dish,three_words,W_Food,W_Env,W_Price,ord_system,comments
Male,15 - 24 Years,Syrian,Foreginer,Under Graduate,Full Time,Private,With Students,Yes,,,,,,,Yes,APU Cafeteria,3 - 4 days,Lunch,RM 8 - RM 10,Yes,1,4,3,3,1,1,1,1,1,3,Yes,Yes,Food satisfied; environment highly satisfied; pricing satisfied,satisfied,highly satisfied,satisfied,Buffet system,
Male,15 - 24 Years,Malaysia,Local,Diploma,Full Time,Parents,Family / Parents,Yes,,,,,,,No,APU Cafeteria,1 - 2 days,Lunch,RM 8 - RM 10,Yes,1,1,1,1,1,1,1,3,3,1,May be,May be,,,,,Buffet system,
Female,15 - 24 Years,Malaysia,Local,Diploma,Full Time,Parents,Family / Parents,Yes,,,,,,,Yes,Convenient Shop;Don't take lunch at University,1 - 2 days,Snacks / Tea,Less than RM 5,Yes,4,3,1,4,1,1,4,1,5,4,Yes,Yes,Can be improved,,can be improved,,Buffet system,It will be great if the cafeteria improve their foods as well as environment
Female,15 - 24 Years,Malaysia,Local,Diploma,Full Time,Parents,Family / Parents,Yes,,,,,,,No,Convenient Shop,1 - 2 days,Breakfast,RM 5 - RM 7,Yes,5,5,3,4,5,4,5,3,1,4,May be,Yes,Expensive; not tasty and less variety,not tasty; less variety,,expensive,Off the Menu,No
Male,15 - 24 Years,Tanzania,Foreginer,Diploma,Full Time,Private,With Students,Yes,,,,,,,Yes,APU Cafeteria,1 - 2 days,Lunch,RM 5 - RM 7,Yes,4,3,3,5,1,4,3,3,3,3,Yes,Yes,cold; same dish,cold; same dish,,,Off the Menu,you should consider food variety for internationals too not only locals
Female,15 - 24 Years,Malaysia,Local,Under Graduate,Full Time,University Provided Accomodation,With Students,Yes,,,,,,,Yes,APU Cafeteria;From Home,1 - 2 days,Lunch,RM 5 - RM 7,Yes,3,3,3,1,3,3,1,1,3,3,Yes,Yes,Should be improved ,should be improved,,,Buffet system,
Male,25 - 30 Years,Indonesia,Foreginer,Graduate,Full Time,University Provided Accomodation,With Students,Yes,,,,,,,Yes,APU Cafeteria;From Home,3 - 4 days,Lunch,RM 8 - RM 10,Yes,4,3,3,4,5,3,4,4,4,4,No,No,Unhealthy; Dirty; Unstable price,unhealthy,dirty,unstable,Buffet system,University need to put more investment on Cafeteria
Male,15 - 24 Years,Nigeria,Foreginer,Graduate,Full Time,Private,With Students,Yes,,,,,,,Sometimes,Enterprise 3,3 - 4 days,Lunch,RM 10 - RM 15,Yes,1,3,3,1,1,1,1,1,1,1,May be,May be,Its very amusing ,,amusing,,Buffet system,The food and service is well worth it 
Female,25 - 30 Years,Algeria,Foreginer,Graduate,Full Time,Private,Alone,Yes,,,,,,,Yes,APU Cafeteria,more than 4 days,Lunch,RM 10 - RM 15,Yes,4,4,4,4,4,4,1,3,3,1,Yes,Yes,,,,,Off the Menu,
Female,15 - 24 Years,Oman,Foreginer,Under Graduate,Full Time,Private,Alone,No,1,3,3,1,1,Don't take lunch at University,,,,,,,,,,,,,,,,,,,,,,,Buffet system,apu needs to start serving decent food
Female,15 - 24 Years,Oman,Foreginer,Under Graduate,Full Time,Private,Alone,Yes,,,,,,,Sometimes,APU Cafeteria,3 - 4 days,Lunch,RM 8 - RM 10,Yes,3,3,3,4,3,3,4,3,4,3,Yes,Yes,Not clean as it should to be ,,not clean,,Off the Menu,No 
Male,15 - 24 Years,Tanzania,Foreginer,Under Graduate,Full Time,Private,With Students,Yes,,,,,,,Yes,Convenient Shop;From Home;Order Online,1 - 2 days,Snacks / Tea,Less than RM 5,Yes,3,3,3,3,3,3,3,3,3,3,May be,May be,,,,,Buffet system,
Male,15 - 24 Years,Uzbekistan ,Foreginer,Under Graduate,Full Time,Private,With Students,Yes,,,,,,,Yes,APU Cafeteria,1 - 2 days,Lunch,RM 8 - RM 10,Yes,3,4,3,4,1,1,3,1,1,3,Yes,Yes,Less choices  - Environment is fine  - High pricing for such cafe ,less choice,fine,high price for such café,Buffet system,
Female,15 - 24 Years,Malaysia,Local,Under Graduate,Full Time,University Provided Accomodation,With Students,Yes,,,,,,,Yes,Convenient Shop;From Home;Don't take lunch at University,1 - 2 days,Breakfast,RM 8 - RM 10,Yes,3,3,1,3,1,1,1,1,3,4,Yes,No,ok;  ok and worse,ok,ok,worse,Buffet system,quantity with prices are fixed and stated in menu
Male,15 - 24 Years,Pakistan,Foreginer,Graduate,Full Time,Private,With Students,Yes,,,,,,,No,APU Cafeteria,3 - 4 days,Breakfast;Lunch,RM 10 - RM 15,Yes,4,4,5,4,1,4,1,4,1,1,No,Yes,Disappointing; Tasteless; Expensive,Tasteless,Disappointing,Expensive,Off the Menu,
Female,15 - 24 Years,Oman,Foreginer,Graduate,Full Time,University Provided Accomodation,With Students,Yes,,,,,,,Yes,APU Cafeteria,3 - 4 days,Breakfast;Lunch,RM 10 - RM 15,Yes,1,1,1,1,1,1,1,1,1,1,No,Yes,Good,good,good,good,Off the Menu,
Male,35 - 44 Years,Pakistan,Foreginer,Graduate,Full Time,Private,Family / Parents,Yes,,,,,,,Sometimes,APU Cafeteria;Maybank canteen,3 - 4 days,Lunch;Snacks / Tea,RM 5 - RM 7,Yes,3,1,1,3,3,3,3,4,4,3,Guess,Guess,same taste loud average price,same taste,loud,average,Buffet system,occupying seats other than food should not be allowed
Male,25 - 30 Years,Chadian ,Foreginer,Under Graduate,Full Time,Parents,With Students,No,1,2,2,1,2,Order Online,,,,,,,,,,,,,,,,,,,,,,,Off the Menu,
Female,15 - 24 Years,Kenya,Foreginer,Under Graduate,Full Time,University Provided Accomodation,With Students,Yes,,,,,,,Yes,Convenient Shop,1 - 2 days,Lunch,Less than RM 5,Yes,4,1,1,4,3,1,4,1,1,3,Yes,No,,,,,Buffet system,
Male,15 - 24 Years,Yemen,Foreginer,Post Graduate ,Full Time,Private,With Students,Yes,,,,,,,Yes,APU Cafeteria,3 - 4 days,Breakfast,RM 10 - RM 15,Yes,3,1,3,3,3,3,1,1,3,3,Yes,No,Tasteless; unworthy and need enhancement ,tastless,need enhancement,unworthy,Buffet system,Improve the cafeteria seats availability
Female,15 - 24 Years,Guinea,Foreginer,Under Graduate,Full Time,Private,With Students,Yes,,,,,,,Yes,APU Cafeteria,3 - 4 days,Lunch,RM 8 - RM 10,Yes,1,4,1,3,1,3,3,3,3,3,Yes,No,Good fun yummy,good; yummy,fun,,Off the Menu,
Female,15 - 24 Years,Malaysia,Local,Under Graduate,Full Time,Parents,Family / Parents,Yes,,,,,,,No,APU Cafeteria;Convenient Shop,3 - 4 days,Lunch,RM 5 - RM 7,Yes,4,4,3,4,3,4,4,4,5,4,Yes,Yes,,,,,Off the Menu,
Male,15 - 24 Years,Kenya,Foreginer,Foundation ,Full Time,University Provided Accomodation,With Students,Yes,,,,,,,Sometimes,APU Cafeteria,1 - 2 days,Lunch,Less than RM 5,Yes,3,1,1,4,3,3,3,3,4,1,Yes,Yes,Okay; satisfactory  good,okay,good,satisfactory,Off the Menu,
Female,15 - 24 Years,Kazakhstan,Foreginer,Under Graduate,Full Time,University Provided Accomodation,With Students,Yes,,,,,,,Yes,APU Cafeteria;Don't take lunch at University,1 - 2 days,Snacks / Tea,Less than RM 5,Yes,4,3,3,3,3,3,4,1,1,1,No,No,,,,,Off the Menu,
Male,15 - 24 Years,Sri Lanka,Foreginer,Graduate,Full Time,Private,Family / Parents,Yes,,,,,,,Yes,APU Cafeteria;From Home;Don't take lunch at University,1 - 2 days,Snacks / Tea,Less than RM 5,Yes,3,3,5,4,3,4,1,4,4,3,No,No,Not enough :P,not enough,,,Buffet system,
Male,15 - 24 Years,Tanzania,Foreginer,Under Graduate,Full Time,University Provided Accomodation,With Students,Yes,,,,,,,Yes,APU Cafeteria;From Home;Order Online,3 - 4 days,Lunch,RM 8 - RM 10,Yes,1,3,5,4,4,1,1,1,5,4,Yes,No,Little;Okay;Inexpensive,little,okay,expensive,Buffet system,
Male,25 - 30 Years,Yemen,Foreginer,Graduate,Full Time,Private,Alone,No,3,1,2,3,3,Don't take lunch at University,,,,,,,,,,,,,,,,,,,,,,,Buffet system,
Female,25 - 30 Years,Pakistan,Foreginer,Graduate,Full Time,University Provided Accomodation,With Students,No,3,2,2,3,3,Don't take lunch at University,,,,,,,,,,,,,,,,,,,,,,,Buffet system,The Cafeteria smells terrible.
Male,15 - 24 Years,Zimbabwe,Foreginer,Graduate,Full Time,University Provided Accomodation,With Students,Yes,,,,,,,Yes,APU Cafeteria;Convenient Shop,more than 4 days,Lunch,RM 8 - RM 10,No,1,4,1,4,4,4,5,5,5,1,No,No,,,,,Off the Menu,no
Female,35 - 44 Years,Asian,Foreginer,Graduate,Full Time,Private,Family / Parents,No,1,3,3,1,1,From Home,,,,,,,,,,,,,,,,,,,,,,,Off the Menu,
Male,25 - 30 Years,Mauritius,Foreginer,Graduate,Full Time,University Provided Accomodation,With Students,Yes,,,,,,,Sometimes,APU Cafeteria;Convenient Shop,1 - 2 days,Lunch,RM 8 - RM 10,Yes,4,4,1,4,1,1,1,4,3,3,Yes,Yes,Expensive; low quality; friendly,low quality,friendly,expensive,Buffet system,
Male,15 - 24 Years,Oman,Foreginer,Diploma,Full Time,Private,With Students,No,2,2,2,2,2,Don't take lunch at University,,,,,,,,,,,,,,,,,,,,,,,Off the Menu,
Male,25 - 30 Years,India,Foreginer,Graduate,Full Time,Private,Alone,No,1,1,3,1,3,From Home,,,,,,,,,,,,,,,,,,,,,,,Buffet system,
Male,25 - 30 Years,Tanzania,Foreginer,Graduate,Full Time,Private,With Students,Yes,,,,,,,No,APU Cafeteria,3 - 4 days,Lunch,RM 10 - RM 15,Yes,1,1,1,5,3,5,4,3,4,5,Yes,May be,Okay; meh; affordable,okay,meh,affordable,Off the Menu,
Male,15 - 24 Years,Indonesia,Foreginer,Graduate,Full Time,University Provided Accomodation,With Students,Yes,,,,,,,No,APU Cafeteria,3 - 4 days,Lunch,RM 5 - RM 7,No,1,3,4,3,3,3,1,1,4,1,May be,No,,,,,Off the Menu,It would be nice for APU to increase the food varieties and number of  tables/chairs. During lunch time (around 12  to 1 p.m); it will be more challenging to find place to seat rather than to decide what to eat.
Male,15 - 24 Years,Tanzania,Foreginer,Under Graduate,Full Time,Private,With Students,Yes,,,,,,,Yes,Don't take lunch at University,1 - 2 days,Breakfast,RM 10 - RM 15,Yes,1,3,3,1,1,3,1,1,1,1,Yes,No,Tastey good high,tastey,good,high,Buffet system,The pricing should be affordable so that students can have their meals and get satisfied
Female,15 - 24 Years,Malaysia,Local,Under Graduate,Full Time,Private,With Students,Yes,,,,,,,Yes,APU Cafeteria,3 - 4 days,Lunch,RM 5 - RM 7,No,3,3,3,3,3,3,3,3,3,3,May be,May be,,,,,Off the Menu,
Female,15 - 24 Years,Malaysia,Local,Under Graduate,Full Time,Parents,Family / Parents,No,3,1,3,3,2,From Home,,,,,,,,,,,,,,,,,,,,,,,Buffet system,
Female,15 - 24 Years,Djibouti,Foreginer,Graduate,Part Time,University Provided Accomodation,With Students,No,3,2,1,1,3,Order Online,,,,,,,,,,,,,,,,,,,,,,,Off the Menu,
Female,25 - 30 Years,Russian,Foreginer,Graduate,Full Time,Private,Alone,Yes,,,,,,,Yes,APU Cafeteria,more than 4 days,Lunch,RM 10 - RM 15,Yes,1,1,1,1,1,1,1,3,1,1,Yes,Yes,,,,,Off the Menu,no
Female,15 - 24 Years,Mauritius,Foreginer,Under Graduate,Full Time,Private,With Students,Yes,,,,,,,Yes,APU Cafeteria;From Home,3 - 4 days,Lunch,RM 5 - RM 7,Yes,1,4,4,4,5,1,1,1,1,1,Yes,Yes,,,,,Off the Menu,
Female,25 - 30 Years,Malaysia,Local,Under Graduate,Full Time,Parents,Family / Parents,Yes,,,,,,,Yes,APU Cafeteria;Convenient Shop,1 - 2 days,Lunch,Less than RM 5,Yes,3,3,1,1,1,1,1,1,3,1,Yes,May be,,,,,Off the Menu,
Male,25 - 30 Years,Djibouti,Foreginer,Graduate,Full Time,University Provided Accomodation,With Students,Yes,,,,,,,No,APU Cafeteria,3 - 4 days,Lunch,RM 8 - RM 10,Yes,1,3,1,3,1,1,1,3,1,1,Yes,Yes,,,,,Buffet system,
Male,25 - 30 Years,Nigeria,Foreginer,Graduate,Full Time,University Provided Accomodation,With Students,Yes,,,,,,,Yes,APU Cafeteria,1 - 2 days,Lunch,RM 8 - RM 10,Yes,1,1,3,3,1,3,1,1,1,1,Guess,May be,Good,good,good,good,Off the Menu,
Male,15 - 24 Years,India,Foreginer,Graduate,Full Time,University Provided Accomodation,With Students,Yes,,,,,,,Yes,APU Cafeteria,1 - 2 days,Snacks / Tea,Less than RM 5,Yes,3,4,1,5,1,5,3,1,1,5,Yes,No,Can improve service,,can improve service,,Off the Menu,
Male,15 - 24 Years,Pakistan,Foreginer,Graduate,Full Time,Private,With Students,Yes,,,,,,,Sometimes,APU Cafeteria;Convenient Shop,1 - 2 days,Lunch,RM 8 - RM 10,Yes,3,1,1,4,4,4,1,4,1,4,May be,May be,,,,,Off the Menu,
Male,15 - 24 Years,Algeria,Foreginer,Under Graduate,Full Time,Private,With Students,Yes,,,,,,,Yes,APU Cafeteria,3 - 4 days,Lunch,RM 8 - RM 10,No,4,1,3,3,3,3,1,4,1,4,No,No,acceptable could be better,acceptable could be better,,,Off the Menu,thank you have a nice day.
Female,15 - 24 Years,Djibouti,Foreginer,Graduate,Part Time,University Provided Accomodation,With Students,No,1,2,3,2,2,From Home,,,,,,,,,,,,,,,,,,,,,,,Off the Menu,
Male,31 - 35 Years,Yemen,Foreginer,Post Graduate ,Full Time,Private,With Students,No,3,2,2,1,2,Don't take lunch at University,,,,,,,,,,,,,,,,,,,,,,,Off the Menu,
Female,15 - 24 Years,Djibouti,Foreginer,Graduate,Full Time,University Provided Accomodation,Alone,Yes,,,,,,,Yes,APU Cafeteria,3 - 4 days,Lunch,RM 8 - RM 10,Yes,3,1,3,1,1,1,3,1,3,1,Yes,Yes,,,,,Buffet system,
Female,15 - 24 Years,Djibouti,Foreginer,Diploma,Full Time,University Provided Accomodation,With Students,No,3,2,2,3,3,Order Online,,,,,,,,,,,,,,,,,,,,,,,Off the Menu,
Female,15 - 24 Years,Tanzania,Foreginer,Post Graduate ,Full Time,Private,With Students,Yes,,,,,,,No,From Home,1 - 2 days,Snacks / Tea,RM 5 - RM 7,Yes,5,3,3,5,1,1,4,4,4,4,Yes,Yes,Unhygienic; uninviting; limited range,Unhygienic; limited range,uninviting;,,Off the Menu,
Male,15 - 24 Years,Pakistan,Foreginer,Under Graduate,Full Time,Private,With Students,Yes,,,,,,,No,APU Cafeteria,1 - 2 days,Lunch,RM 8 - RM 10,Yes,3,3,3,3,3,3,3,3,3,3,May be,May be,nothing very special,,nothing very special,,Off the Menu,
Male,25 - 30 Years,Tanzania,Foreginer,Graduate,Full Time,Private,With Students,Yes,,,,,,,Yes,APU Cafeteria,1 - 2 days,Lunch,RM 8 - RM 10,Yes,5,5,5,5,5,5,3,3,1,3,May be,May be,,,,,Buffet system,
Male,15 - 24 Years,Tanzania,Foreginer,Under Graduate,Full Time,Private,Alone,Yes,,,,,,,Yes,APU Cafeteria,3 - 4 days,Breakfast;Lunch,RM 10 - RM 15,Yes,1,1,1,1,1,1,1,1,1,1,Yes,No,Its not bad,Its not bad,Its not bad,Its not bad,Buffet system,
Male,15 - 24 Years,Pakistan,Foreginer,Under Graduate,Full Time,Private,With Students,Yes,,,,,,,No,APU Cafeteria;Convenient Shop,more than 4 days,Breakfast,RM 5 - RM 7,Yes,1,1,1,3,3,3,1,1,1,1,Yes,Yes,Just ok,just ok,just ok,just ok,Off the Menu,I want to give suggestion to university that make a good cashier system and fix the prices of food.
Male,15 - 24 Years,Bandladesh,Foreginer,Graduate,Full Time,Private,With Students,Yes,,,,,,,Yes,APU Cafeteria,more than 4 days,Lunch,RM 10 - RM 15,Yes,1,3,3,3,1,1,1,4,4,4,Yes,Yes,,,,,Buffet system,Actually I preffer about our sitting space.i think if this space are more big we feel more comfortable
Male,15 - 24 Years,Yemen,Foreginer,Graduate,Full Time,Private,With Students,No,1,1,2,2,1,Restaurant ,,,,,,,,,,,,,,,,,,,,,,,Off the Menu,
Female,15 - 24 Years,Malaysia,Local,Under Graduate,Full Time,University Provided Accomodation,With Students,Yes,,,,,,,No,Don't take lunch at University,1 - 2 days,Lunch,Less than RM 5,Yes,4,4,4,4,4,4,3,3,4,5,May be,May be,Horrible,Horrible,Horrible,Horrible,Buffet system,Change catering
Male,15 - 24 Years,Bandladesh,Foreginer,Under Graduate,Full Time,University Provided Accomodation,Alone,Yes,,,,,,,Sometimes,APU Cafeteria,3 - 4 days,Lunch,RM 8 - RM 10,No,3,3,4,1,3,3,3,3,3,3,Yes,Yes,It's ok,It's ok,It's ok,It's ok,Off the Menu,
Male,15 - 24 Years,Indonesia,Foreginer,Under Graduate,Full Time,Private,With Students,Yes,,,,,,,Sometimes,APU Cafeteria,3 - 4 days,Lunch,RM 5 - RM 7,Yes,1,3,1,3,1,1,3,3,1,1,May be,No,Good; quite cheap; nice,good,nice,quite cheap,Buffet system,
Female,25 - 30 Years,India,Foreginer,Under Graduate,Full Time,University Provided Accomodation,With Students,Yes,,,,,,,No,APU Cafeteria;Convenient Shop,3 - 4 days,Lunch;Snacks / Tea,RM 5 - RM 7,Yes,3,1,1,4,3,3,3,1,3,1,Yes,No,Average,average,average,average,Off the Menu,
Female,15 - 24 Years,India,Foreginer,Under Graduate,Full Time,University Provided Accomodation,With Students,Yes,,,,,,,No,APU Cafeteria,3 - 4 days,Lunch,RM 8 - RM 10,Yes,1,1,1,3,1,1,1,3,1,1,Yes,Yes,,,,,Buffet system,Noisy
Male,31 - 35 Years,Malaysia,Local,Graduate,Part Time,Parents,Family / Parents,Yes,,,,,,,No,APU Cafeteria;From Home,1 - 2 days,Lunch;Snacks / Tea,RM 5 - RM 7,No,1,1,1,3,3,3,1,3,1,1,Yes,Yes,Can be improved,,Can be improved,,Off the Menu,
Male,15 - 24 Years,Malaysia,Local,Diploma,Full Time,Private,With Students,Yes,,,,,,,No,APU Cafeteria,1 - 2 days,Lunch,RM 5 - RM 7,Yes,3,3,3,3,3,3,3,3,3,3,May be,No,Haha,haha,haha,haha,Buffet system,No
Male,15 - 24 Years,Malaysia,Local,Under Graduate,Full Time,University Provided Accomodation,With Students,Yes,,,,,,,Sometimes,Convenient Shop,3 - 4 days,Lunch,Less than RM 5,Yes,1,4,4,3,3,3,3,3,4,4,Yes,May be,Good-ish;clean;pricey,Good-ish,clean,pricey,Off the Menu,
Male,15 - 24 Years,Malaysia,Local,Under Graduate,Full Time,University Provided Accomodation,With Students,Yes,,,,,,,No,APU Cafeteria;Convenient Shop,3 - 4 days,Lunch,RM 5 - RM 7,Yes,1,3,1,3,4,4,1,3,1,3,Yes,No,Delicious; crowded; medium range ,Delicious,crowded,Medium range,Off the Menu,Need to have a variety of food choice; with good taste ; and affordable 
Male,15 - 24 Years,Malaysia,Local,Diploma,Full Time,University Provided Accomodation,With Students,Yes,,,,,,,Sometimes,APU Cafeteria,1 - 2 days,Lunch,RM 8 - RM 10,Yes,3,3,1,1,1,3,3,3,3,3,Yes,No,,,,,Buffet system,
Male,15 - 24 Years,Malaysia,Local,Diploma,Full Time,Parents,Family / Parents,Yes,,,,,,,Sometimes,From Home,1 - 2 days,Snacks / Tea,RM 5 - RM 7,No,1,4,4,3,3,3,1,1,1,3,No,No,Have room for improvement ,,Have room for improvement ,,Buffet system,
Male,15 - 24 Years,Malaysia,Local,Diploma,Full Time,Parents,Family / Parents,Yes,,,,,,,No,APU Cafeteria,1 - 2 days,Lunch,RM 10 - RM 15,Yes,3,4,3,4,4,3,3,5,5,3,Yes,May be,,,,,Buffet system,Enhance the spaces of cafeteria
Female,15 - 24 Years,Djibouti,Foreginer,Graduate,Part Time,University Provided Accomodation,With Students,No,1,2,3,2,2,From Home,,,,,,,,,,,,,,,,,,,,,,,Off the Menu,
Female,15 - 24 Years,Djibouti,Foreginer,Graduate,Full Time,University Provided Accomodation,With Students,Yes,,,,,,,Yes,APU Cafeteria,3 - 4 days,Lunch,RM 8 - RM 10,Yes,3,4,3,3,4,3,3,3,1,3,No,No,,,,,Buffet system,
Male,25 - 30 Years,Kenya,Foreginer,Graduate,Full Time,Private,With Students,Yes,,,,,,,No,APU Cafeteria;Convenient Shop,more than 4 days,Breakfast;Lunch;Snacks / Tea,RM 10 - RM 15,Yes,3,4,4,4,4,4,4,4,4,4,No,No,Expensive; horrible and too small,Horrible,too small,expensive,Buffet system,
Male,15 - 24 Years,China,Foreginer,Under Graduate,Full Time,Private,With Students,Yes,,,,,,,Yes,APU Cafeteria,3 - 4 days,Breakfast;Lunch,RM 5 - RM 7,Yes,3,1,1,3,1,1,1,1,1,1,No,Yes,,,,,Buffet system,
Male,15 - 24 Years,Bandladesh,Foreginer,Diploma,Full Time,Private,With Students,Yes,,,,,,,Sometimes,APU Cafeteria,3 - 4 days,Lunch,RM 5 - RM 7,Yes,3,3,1,1,1,1,1,1,1,1,Yes,Guess,It's good atall,It's good atall,It's good atall,It's good atall,Off the Menu,No
Male,15 - 24 Years,Russian,Foreginer,Graduate,Full Time,Private,With Students,Yes,,,,,,,Sometimes,APU Cafeteria,1 - 2 days,Snacks / Tea,RM 5 - RM 7,Yes,3,1,3,4,1,3,3,3,1,1,May be,May be,,,,,Off the Menu,
Male,15 - 24 Years,Maldives,Foreginer,Under Graduate,Full Time,Private,With Students,Yes,,,,,,,No,Don't take lunch at University,1 - 2 days,Snacks / Tea,Less than RM 5,Yes,1,1,3,4,1,1,4,5,5,5,Yes,Yes,Fair,fair,fair,fair,Buffet system,
Female,15 - 24 Years,Malaysia,Local,Under Graduate,Full Time,Private,With Working Professionals,Yes,,,,,,,Sometimes,APU Cafeteria,1 - 2 days,Lunch,RM 8 - RM 10,Yes,3,3,1,3,1,1,3,1,1,1,Yes,No,Dislike. Acceptable. Acceptable,dislike,acceptable,acceptable,Off the Menu,
Female,25 - 30 Years,China,Foreginer,Graduate,Full Time,Private,With Students,Yes,,,,,,,Yes,APU Cafeteria,1 - 2 days,Lunch,RM 10 - RM 15,Yes,1,1,1,3,1,3,3,3,3,3,Yes,No,Should be improved,should be improved,should be improved,should be improved,Off the Menu,
Male,25 - 30 Years,uae,Foreginer,Under Graduate,Full Time,University Provided Accomodation,With Students,Yes,,,,,,,No,APU Cafeteria,3 - 4 days,Breakfast;Lunch,RM 10 - RM 15,Yes,1,1,1,3,1,3,1,4,4,1,Yes,No,Acceptable good normal,acceptable,good,normal,Buffet system,Try different menu everyday
Female,15 - 24 Years,Maldives,Foreginer,Under Graduate,Full Time,University Provided Accomodation,With Students,Yes,,,,,,,No,APU Cafeteria;Convenient Shop;go out with friends,3 - 4 days,Lunch,RM 8 - RM 10,Yes,1,1,1,3,1,1,3,4,3,1,No,No,Need improvement,,need improvement,,Buffet system,
Female,25 - 30 Years,Malaysia,Local,Graduate,Full Time,Parents,Family / Parents,No,2,2,3,3,2,From Home;Don't take lunch at University,,,,,,,,,,,,,,,,,,,,,,,Buffet system,
Male,15 - 24 Years,Philippines,Foreginer,Under Graduate,Full Time,University Provided Accomodation,With Students,Yes,,,,,,,Yes,APU Cafeteria;From Home,3 - 4 days,Lunch;Snacks / Tea,RM 8 - RM 10,Yes,1,1,1,1,1,1,1,1,1,1,No,No,Everything is okay,Everything is okay,Everything is okay,Everything is okay,Buffet system,Nah
Male,35 - 44 Years,Malaysia,Local,Graduate,Full Time,University Provided Accomodation,Alone,Yes,,,,,,,Sometimes,APU Cafeteria;From Home,more than 4 days,Breakfast;Lunch;Snacks / Tea,RM 8 - RM 10,Yes,3,4,3,4,3,3,1,4,3,4,Yes,Yes,Worthless tasteless valueless,Tasteless,worthless,valueless,Buffet system,The place requires attitude adjustment. That's the core of the issue
